time_ms,ax_raw_mps2,ay_raw_mps2,az_raw_mps2,ax_kf_mps2,ay_kf_mps2,az_kf_mps2,vx_2state_kf_lightlpf_mps,vy_2state_kf_lightlpf_mps,vz_2state_kf_lightlpf_mps,v_mag
339670.000000,-0.090000,0.010000,-0.010000,0.000000,0.000000,0.000000,-0.001350,0.000150,-0.000150,0.001367
339684.000000,-0.100000,0.000000,-0.020000,0.000000,0.000000,0.000000,-0.002708,0.000192,-0.000388,0.002742
339700.000000,-0.090000,0.040000,0.010000,0.000000,0.000000,0.000000,-0.004182,0.000654,-0.000358,0.004248
339715.000000,-0.080000,0.030000,-0.010000,0.000000,0.000000,0.000000,-0.005436,0.001099,-0.000454,0.005565
339730.000000,-0.070000,0.030000,-0.010000,0.000000,0.000000,0.000000,-0.000001,0.000000,-0.000000,0.000001
339746.000000,-0.100000,0.010000,0.030000,0.000000,0.000000,0.000000,-0.000252,0.000044,0.000050,0.000261
339760.000000,-0.110000,0.000000,-0.020000,0.000000,0.000000,0.000000,-0.000246,0.000003,-0.000039,0.000249
339775.000000,-0.100000,0.010000,0.050000,0.000000,0.000000,0.000000,-0.000178,0.000004,0.000090,0.000200
339790.000000,-0.080000,0.020000,-0.020000,0.000000,0.000000,0.000000,-0.000074,0.000036,-0.000033,0.000089
339805.000000,-0.100000,0.010000,-0.010000,0.000000,0.000000,0.000000,-0.000076,0.000021,-0.000081,0.000113
339820.000000,-0.100000,0.000000,-0.010000,0.000000,0.000000,0.000000,-0.000082,-0.000022,-0.000092,0.000125
339834.000000,-0.090000,0.010000,0.000000,0.000000,0.000000,0.000000,-0.000050,-0.000013,-0.000058,0.000078
339851.000000,-0.090000,0.010000,0.000000,0.000000,0.000000,0.000000,-0.000024,-0.000003,-0.000031,0.000040
339868.000000,-0.080000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000021,-0.000031,0.000049,0.000062
339882.000000,-0.110000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000056,-0.000047,0.000025,0.000077
339899.000000,-0.090000,0.020000,0.000000,0.000000,0.000000,0.000000,-0.000037,0.000017,-0.000001,0.000041
339913.000000,-0.080000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,-0.000013,-0.000012,0.000024
339930.000000,-0.090000,0.030000,-0.010000,0.000000,0.000000,0.000000,0.000013,0.000068,-0.000052,0.000087
339947.000000,-0.120000,0.010000,-0.020000,0.000000,0.000000,0.000000,-0.000101,0.000045,-0.000107,0.000153
339961.000000,-0.110000,0.020000,-0.020000,0.000000,0.000000,0.000000,-0.000131,0.000059,-0.000135,0.000197
339978.000000,-0.110000,0.020000,0.000000,0.000000,0.000000,0.000000,-0.000134,0.000068,-0.000069,0.000165
339992.000000,-0.090000,0.010000,0.000000,0.000000,0.000000,0.000000,-0.000062,0.000036,-0.000029,0.000078
340009.000000,-0.090000,0.000000,0.010000,0.000000,0.000000,0.000000,-0.000010,-0.000024,0.000030,0.000040
340023.000000,-0.090000,0.020000,0.020000,0.000000,0.000000,0.000000,0.000011,0.000015,0.000094,0.000096
340039.000000,-0.080000,0.010000,-0.100000,0.000000,0.000000,0.000000,0.000057,0.000010,-0.000308,0.000314
340053.000000,-0.070000,0.010000,0.040000,0.000000,0.000000,0.000000,0.000117,0.000003,-0.000057,0.000131
340070.000000,-0.100000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000037,0.000035,0.000009,0.000052
340082.000000,-0.090000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000022,0.000020,0.000020,0.000036
340098.000000,-0.070000,0.030000,-0.040000,0.000000,0.000000,0.000000,0.000092,0.000079,-0.000128,0.000176
340112.000000,-0.090000,0.010000,0.040000,0.000000,0.000000,0.000000,0.000062,0.000044,0.000070,0.000103
340129.000000,-0.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000032,-0.000025,0.000068,0.000079
340143.000000,-0.100000,0.000000,-0.010000,0.000000,0.000000,0.000000,-0.000017,-0.000061,0.000011,0.000064
340161.000000,-0.090000,0.010000,-0.010000,0.000000,0.000000,0.000000,-0.000010,-0.000039,-0.000030,0.000050
340178.000000,-0.110000,0.030000,0.020000,0.000000,0.000000,0.000000,-0.000073,0.000052,0.000064,0.000110
340192.000000,-0.090000,0.010000,-0.040000,0.000000,0.000000,0.000000,-0.000041,0.000032,-0.000090,0.000104
340209.000000,-0.080000,0.020000,-0.040000,0.000000,0.000000,0.000000,0.000026,0.000046,-0.000203,0.000210
340223.000000,-0.110000,0.010000,0.000000,0.000000,0.000000,0.000000,-0.000045,0.000021,-0.000110,0.000121
340250.000000,-0.120000,0.020000,0.000000,0.000000,0.000000,0.000000,-0.000121,0.000033,-0.000016,0.000127
340265.000000,-0.090000,0.030000,0.000000,0.000000,0.000000,0.000000,-0.000065,0.000083,0.000011,0.000105
340280.000000,-0.080000,0.010000,0.020000,0.000000,0.000000,0.000000,0.000017,0.000043,0.000097,0.000107
340296.000000,-0.110000,-0.010000,-0.020000,0.000000,0.000000,0.000000,-0.000047,-0.000065,-0.000001,0.000080
340310.000000,-0.080000,-0.020000,0.000000,0.000000,0.000000,0.000000,0.000014,-0.000163,0.000004,0.000163
340327.000000,-0.110000,0.030000,-0.010000,0.000000,0.000000,0.000000,-0.000051,-0.000024,-0.000021,0.000060
340341.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000059,-0.000042,-0.000000,0.000073
340358.000000,-0.110000,0.030000,-0.010000,0.000000,0.000000,0.000000,-0.000094,0.000047,-0.000021,0.000107
340372.000000,-0.100000,0.030000,-0.020000,0.000000,0.000000,0.000000,-0.000079,0.000100,-0.000072,0.000146
340386.000000,-0.090000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000029,0.000019,-0.000031,0.000046
340400.000000,-0.090000,0.030000,-0.020000,0.000000,0.000000,0.000000,0.000004,0.000068,-0.000070,0.000098
340417.000000,-0.090000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000021,0.000032,-0.000023,0.000045
340431.000000,-0.100000,0.020000,-0.010000,0.000000,0.000000,0.000000,-0.000009,0.000042,-0.000028,0.000052
340448.000000,-0.080000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000044,-0.000024,0.000002,0.000050
340462.000000,-0.110000,0.020000,0.000000,0.000000,0.000000,0.000000,-0.000029,0.000009,0.000021,0.000037
340480.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000046,-0.000039,0.000030,0.000067
340497.000000,-0.080000,0.030000,-0.020000,0.000000,0.000000,0.000000,0.000026,0.000042,-0.000042,0.000065
340511.000000,-0.080000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000071,-0.000013,-0.000013,0.000074
340528.000000,-0.100000,0.010000,-0.030000,0.000000,0.000000,0.000000,0.000018,-0.000022,-0.000099,0.000103
340542.000000,-0.080000,0.020000,0.010000,0.000000,0.000000,0.000000,0.000054,0.000015,-0.000009,0.000057
340559.000000,-0.090000,0.010000,-0.010000,0.000000,0.000000,0.000000,0.000045,0.000004,-0.000013,0.000047
340573.000000,-0.080000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000072,-0.000043,0.000082,0.000118
